os,python_version,library,library_version,dataset,group,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape
,,pycaret,,M3,Yearly,polytrend,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,prophet,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,rf_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,ridge_cds_dt,sklearn,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,ridge_cds_dt,sklearnex,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,snaive,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,tbats,None,,ray,,native,,645.0,,,,,,
,,pycaret,,M3,Yearly,theta,None,,ray,,native,,645.0,,,,,,
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Other,auto_arima,pmdarima,,ray,,native,,174.0,100.0,0.0,0.0,,4.417,4.123
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Other,naive,,,ray,,native,,174.0,100.0,0.0,0.0,,7.025,6.302
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Quarterly,auto_arima,pmdarima,,ray,,native,,756.0,100.0,0.0,0.0,,13.07,9.861
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Quarterly,auto_arima,statsforecast,,ray,,native,,756.0,100.0,0.0,0.0,,14.22,12.911
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Yearly,auto_arima,pmdarima,,ray,,native,,645.0,100.0,0.0,0.0,,22.193,17.524
,,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Yearly,auto_arima,statsforecast,,ray,,native,,645.0,100.0,0.0,0.0,,24.27,22.625
win32,3.9.15,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Other,auto_arima,statsforecast,1.4.0,ray,2.0.1,native,,174.0,100.0,0.0,0.0,,4.999,4.782
win32,3.9.15,pycaret,6a4914f1552547fe73dd7be13f3d1843e72d1f61,M3,Other,ets,,,ray,2.0.1,native,,174.0,99.4253,0.5747,0.0,naive,4.976,4.556
