dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,mase,no_model_per,owa,primary_model_per,run_date,smape,time
M4,Weekly,pycaret,3.0.0.rc9,en_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8615,2.655,0.0,1.0005,100.0,2023-02-11,9.5739,4.1667
M4,Weekly,pycaret,3.0.0.rc9,et_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8904,2.7405,0.0,0.9749,100.0,2023-02-11,8.8223,6.1667
M4,Weekly,pycaret,3.0.0.rc9,ets,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,359.0,8.9373,2.7773,0.0,1.0,0.0,2023-02-11,9.1613,6.3333
M4,Weekly,pycaret,3.0.0.rc9,exp_smooth,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,7.4962,2.3391,0.0,0.8461,100.0,2023-02-11,7.7878,2.6667
M4,Weekly,pycaret,3.0.0.rc9,gbr_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.7422,2.6822,0.0,0.9597,100.0,2023-02-11,8.7361,6.5833
M4,Weekly,pycaret,3.0.0.rc9,grand_means,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,56.1318,49.9095,0.0,11.6034,100.0,2023-02-11,47.9715,2.0
M4,Weekly,pycaret,3.0.0.rc9,huber_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.4988,2.3946,0.0,0.9315,100.0,2023-02-11,9.168,4.2
M4,Weekly,pycaret,3.0.0.rc9,knn_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.4634,3.0594,0.0,1.063,100.0,2023-02-11,9.3842,4.4667
M4,Weekly,pycaret,3.0.0.rc9,lar_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,1.4078341132092532e+16,1.7039430997469488e+16,0.0,3067630741279681.0,100.0,2023-02-11,10.0168,4.4167
M4,Weekly,pycaret,3.0.0.rc9,lasso_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8613,2.6548,0.0,1.0005,100.0,2023-02-11,9.5738,4.2333
M4,Weekly,pycaret,3.0.0.rc9,lightgbm_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.1816,3.2711,0.0,1.079,100.0,2023-02-11,8.9806,4.8333
M4,Weekly,pycaret,3.0.0.rc9,llar_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7502,2.3716,0.0,0.9431,100.0,2023-02-11,9.4571,4.4333
M4,Weekly,pycaret,3.0.0.rc9,lr_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7505,2.3723,0.0,0.9433,100.0,2023-02-11,9.4574,4.4167
M4,Weekly,pycaret,3.0.0.rc9,naive,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.9373,2.7773,0.0,1.0,100.0,2023-02-11,9.1613,2.2333
M4,Weekly,pycaret,3.0.0.rc9,omp_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.7046,2.6285,0.0,1.0377,100.0,2023-02-11,10.3424,4.4333
M4,Weekly,pycaret,3.0.0.rc9,par_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,404046924508.667,16211857095.6214,0.0,2918641546.0618,100.0,2023-02-11,33.0185,4.4
M4,Weekly,pycaret,3.0.0.rc9,polytrend,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,40.7042,21.8586,0.0,5.5663,100.0,2023-02-11,29.886,2.1833
M4,Weekly,pycaret,3.0.0.rc9,prophet,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,359.0,8.9373,2.7773,0.0,1.0,0.0,2023-02-11,9.1613,2.2833
M4,Weekly,pycaret,3.0.0.rc9,rf_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8549,2.6749,0.0,0.9644,100.0,2023-02-11,8.8472,9.8833
M4,Weekly,pycaret,3.0.0.rc9,ridge_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7505,2.3723,0.0,0.9433,100.0,2023-02-11,9.4574,4.4333
M4,Weekly,pycaret,3.0.0.rc9,snaive,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,6.6852,359.0,10.3416,5.0689,0.0,1.4734,93.3148,2023-02-11,10.2757,2.2167
