dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,mase,no_model_per,owa,primary_model_per,smape
M4,Weekly,pycaret,3.0.0.rc8,ets,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2786,359.0,7.3862,2.2341,0.0,0.8186,99.7214,7.6286
M4,Weekly,pycaret,3.0.0.rc8,exp_smooth,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2786,359.0,7.4869,2.3366,0.0,0.8452,99.7214,7.7779
M4,Weekly,pycaret,3.0.0.rc8,gbr_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8305,2.7014,0.0,0.9694,100.0,8.8517
M4,Weekly,pycaret,3.0.0.rc8,grand_means,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,56.1318,49.9095,0.0,11.6034,100.0,47.9715
M4,Weekly,pycaret,3.0.0.rc8,huber_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.5995,2.4027,0.0,0.9418,100.0,9.3306
M4,Weekly,pycaret,3.0.0.rc8,knn_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.6099,3.0925,0.0,1.0801,100.0,9.5882
M4,Weekly,pycaret,3.0.0.rc8,lar_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,2.3335513272730663e+251,1.8122630699950784e+250,0.0,3.262640580914003e+249,100.0,11.3369
M4,Weekly,pycaret,3.0.0.rc8,lasso_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8182,2.6427,0.0,0.9956,100.0,9.5238
M4,Weekly,pycaret,3.0.0.rc8,lightgbm_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.277,3.2952,0.0,1.0902,100.0,9.1052
M4,Weekly,pycaret,3.0.0.rc8,llar_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,15.5286,6.013,0.0,1.8352,100.0,13.7918
M4,Weekly,pycaret,3.0.0.rc8,lr_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7641,2.3719,0.0,0.9449,100.0,9.4895
M4,Weekly,pycaret,3.0.0.rc8,naive,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.9373,2.7773,0.0,1.0,100.0,9.1613
M4,Weekly,pycaret,3.0.0.rc8,omp_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.5993,2.5982,0.0,1.0224,100.0,10.1629
M4,Weekly,pycaret,3.0.0.rc8,par_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,404046924503.4568,16211857095.1825,0.0,2918641545.9746,100.0,32.8679
M4,Weekly,pycaret,3.0.0.rc8,polytrend,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,40.7042,21.8586,0.0,5.5663,100.0,29.886
M4,Weekly,pycaret,3.0.0.rc8,prophet,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,18.1281,8.3441,0.0,2.6362,100.0,20.7778
M4,Weekly,pycaret,3.0.0.rc8,rf_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8782,2.6812,0.0,0.9687,100.0,8.9044
M4,Weekly,pycaret,3.0.0.rc8,ridge_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7642,2.3719,0.0,0.945,100.0,9.4898
M4,Weekly,pycaret,3.0.0.rc8,snaive,,,ray,2.0.1,native,,8,naive,3.9.15,win32,6.6852,359.0,10.3211,5.0403,0.0,1.4672,93.3148,10.2569
M4,Weekly,pycaret,3.0.0.rc8,theta,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2786,359.0,8.1088,2.4928,0.0,0.8838,99.7214,7.9706
M4,Weekly,pycaret,3.0.0.rc9,ada_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,12.4565,3.7014,0.0,1.2839,100.0,11.3143
M4,Weekly,pycaret,3.0.0.rc9,arima,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.2151,2.5989,0.0,0.9282,100.0,8.4351
M4,Weekly,pycaret,3.0.0.rc9,auto_arima,statsforecast,1.4.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.1613,2.4319,0.0,0.9987,100.0,10.2776
M4,Weekly,pycaret,3.0.0.rc9,br_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8033,2.3737,0.0,0.9457,100.0,9.4971
M4,Weekly,pycaret,3.0.0.rc9,catboost_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8187,2.9721,0.0,1.015,100.0,8.7928
M4,Weekly,pycaret,3.0.0.rc9,croston,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.6954,4.1772,0.0,1.3668,100.0,11.2636
M4,Weekly,pycaret,3.0.0.rc9,dt_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.812,3.1706,0.0,1.1658,100.0,10.9017
M4,Weekly,pycaret,3.0.0.rc9,en_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8615,2.655,0.0,1.0005,100.0,9.5739
M4,Weekly,pycaret,3.0.0.rc9,et_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8904,2.7405,0.0,0.9749,100.0,8.8223
M4,Weekly,pycaret,3.0.0.rc9,ets,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,359.0,8.9373,2.7773,0.0,1.0,0.0,9.1613
M4,Weekly,pycaret,3.0.0.rc9,exp_smooth,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,7.4962,2.3391,0.0,0.8461,100.0,7.7878
M4,Weekly,pycaret,3.0.0.rc9,gbr_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.7422,2.6822,0.0,0.9597,100.0,8.7361
M4,Weekly,pycaret,3.0.0.rc9,grand_means,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,56.1318,49.9095,0.0,11.6034,100.0,47.9715
M4,Weekly,pycaret,3.0.0.rc9,huber_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.4988,2.3946,0.0,0.9315,100.0,9.168
M4,Weekly,pycaret,3.0.0.rc9,knn_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.4634,3.0594,0.0,1.063,100.0,9.3842
M4,Weekly,pycaret,3.0.0.rc9,lar_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,1.4078341132092532e+16,1.7039430997469488e+16,0.0,3067630741279681.5,100.0,10.0168
M4,Weekly,pycaret,3.0.0.rc9,lasso_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8613,2.6548,0.0,1.0005,100.0,9.5738
M4,Weekly,pycaret,3.0.0.rc9,lightgbm_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.1816,3.2711,0.0,1.079,100.0,8.9806
M4,Weekly,pycaret,3.0.0.rc9,llar_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7502,2.3716,0.0,0.9431,100.0,9.4571
M4,Weekly,pycaret,3.0.0.rc9,lr_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7505,2.3723,0.0,0.9433,100.0,9.4574
M4,Weekly,pycaret,3.0.0.rc9,naive,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.9373,2.7773,0.0,1.0,100.0,9.1613
M4,Weekly,pycaret,3.0.0.rc9,omp_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.7046,2.6285,0.0,1.0377,100.0,10.3424
M4,Weekly,pycaret,3.0.0.rc9,par_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,404046924508.667,16211857095.6214,0.0,2918641546.0618,100.0,33.0185
M4,Weekly,pycaret,3.0.0.rc9,polytrend,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,40.7042,21.8586,0.0,5.5663,100.0,29.886
M4,Weekly,pycaret,3.0.0.rc9,prophet,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,359.0,8.9373,2.7773,0.0,1.0,0.0,9.1613
M4,Weekly,pycaret,3.0.0.rc9,rf_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.8549,2.6749,0.0,0.9644,100.0,8.8472
M4,Weekly,pycaret,3.0.0.rc9,ridge_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.7505,2.3723,0.0,0.9433,100.0,9.4574
M4,Weekly,pycaret,3.0.0.rc9,snaive,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,6.6852,359.0,10.3416,5.0689,0.0,1.4734,93.3148,10.2757
M4,Weekly,pycaret,3.0.0.rc9,theta,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.1294,2.4958,0.0,0.8856,100.0,7.9934
M4,Weekly,pycaret,3.0.0.rc9,xgboost_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.2527,2.7962,0.0,1.005,100.0,9.1907
M4,Weekly,pycaret,38f01856b5ca14ca79aa800677b489c381d5aa71,ets,sktime,0.15.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,359.0,8.9373,2.7773,0.0,1.0,0.0,9.1613
M4,Weekly,pycaret,38f01856b5ca14ca79aa800677b489c381d5aa71,exp_smooth,sktime,0.15.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,7.4962,2.3391,0.0,0.8461,100.0,7.7878
