unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
W237,1616,1603,13,True,No,1,0,True,mul,"[52, 26, 47, 21, 27, 57, 2, 5, 4, 53, 31, 30, 25, 22]","[52, 26, 47, 21, 27, 57, 2, 5, 4, 53, 31, 30, 25, 22]",[52],52,"[52, 47, 21, 27, 57, 30, 53, 31, 25, 22]",[52],52,3.6772
W239,1615,1602,13,True,No,1,0,True,mul,"[52, 4, 48, 2, 56, 8, 50, 25, 57, 44, 5, 27, 53, 6]","[52, 4, 48, 2, 56, 8, 50, 25, 57, 44, 5, 27, 53, 6]",[52],52,"[52, 56, 48, 50, 57, 44, 27, 53]",[52],52,3.751
W24,1615,1602,13,True,No,1,0,True,mul,"[52, 5, 57, 48, 47, 27, 26, 4, 25, 13, 44, 31]","[52, 5, 57, 48, 47, 27, 26, 4, 25, 13, 44, 31]",[52],52,"[52, 25, 57, 48, 47, 27, 44, 31]",[52],52,3.6343
W240,1616,1603,13,True,No,1,0,True,mul,"[52, 5, 48, 4, 57, 47, 56, 53, 7]","[52, 5, 48, 4, 57, 47, 56, 53, 7]",[52],52,"[52, 5, 48, 56, 57, 47, 53]",[52],52,3.6672
W241,1616,1603,13,True,No,1,0,True,mul,"[52, 4, 2, 48, 50, 56, 6, 54, 8, 46, 28, 58, 24, 44]","[52, 4, 2, 48, 50, 56, 6, 54, 8, 46, 28, 58, 24, 44]",[52],52,"[52, 56, 58, 48, 50, 54, 46, 44]",[52],52,3.365
W242,1616,1603,13,True,No,1,0,True,mul,"[52, 26, 48, 57, 5, 47, 4, 27, 25, 53, 32, 9]","[52, 26, 48, 57, 5, 47, 4, 27, 25, 53, 32, 9]",[52],52,"[52, 48, 57, 25, 47, 27, 53, 32]",[52],52,3.5256
W243,1636,1623,13,True,No,1,0,True,mul,"[52, 2, 50, 48, 54, 4, 5, 3, 53, 56, 55, 57, 49, 47, 51, 45, 26, 58, 7]","[52, 2, 50, 48, 54, 4, 5, 3, 53, 56, 55, 57, 49, 47, 51, 45, 26, 58, 7]",[52],52,"[52, 58, 50, 48, 54, 56, 55, 57, 53, 49, 47, 51, 45]",[52],52,3.6113
W244,1636,1623,13,True,No,1,0,True,mul,"[2, 52, 4, 50, 54, 6, 48, 56, 8, 55, 57, 53, 47, 46, 49, 58, 45]","[2, 52, 4, 50, 54, 6, 48, 56, 8, 55, 57, 53, 47, 46, 49, 58, 45]",[2],2,"[58, 52, 56, 50, 54, 48, 55, 57, 53, 47, 46, 49, 45]",[58],58,3.3341
W245,1616,1603,13,True,No,1,0,True,mul,"[52, 5, 47, 57, 27, 25, 4, 26, 48, 8, 44]","[52, 5, 47, 57, 27, 25, 4, 26, 48, 8, 44]",[52],52,"[52, 25, 47, 57, 27, 48, 44]",[52],52,3.6004
W246,1616,1603,13,True,No,1,0,True,mul,"[52, 2, 4, 6, 8, 48, 50, 26, 54, 24, 56, 58, 28, 41]","[52, 2, 4, 6, 8, 48, 50, 26, 54, 24, 56, 58, 28, 41]",[52],52,"[52, 58, 56, 54, 48, 50, 41]",[52],52,3.7041
