unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
H372,1008,960,48,True,No,0,2,True,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 50, 27, 45, 20, 51, 5, 28, 44, 19]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 50, 27, 45, 20, 51, 5, 28, 44, 19]",[2],2,"[50, 48, 46, 51, 44, 26, 47, 49, 21, 27, 45, 20, 28, 19]",[50],50,8.6628
H373,1008,960,48,True,No,0,0,True,"[24, 2, 23, 25, 48, 47, 49, 22, 3, 26, 46, 50, 21, 4, 27, 45, 51]","[24, 2, 23, 25, 48, 47, 49, 22, 3, 26, 46, 50, 21, 4, 27, 45, 51]",[24],24,"[48, 50, 46, 47, 49, 22, 51, 26, 21, 27, 45]",[48],48,8.9142
H374,1008,960,48,True,No,0,0,True,"[24, 2, 23, 25, 48, 22, 47, 49, 3, 26, 46, 50, 21, 27, 4, 45, 51, 20, 28]","[24, 2, 23, 25, 48, 22, 47, 49, 3, 26, 46, 50, 21, 27, 4, 45, 51, 20, 28]",[24],24,"[48, 50, 46, 22, 47, 49, 51, 26, 21, 27, 45, 20, 28]",[48],48,8.8673
H375,1008,960,48,True,No,1,0,True,"[2, 23, 25, 24, 49, 48, 46, 27, 22, 47, 26, 51, 50, 3, 20, 21]","[2, 23, 25, 24, 49, 48, 46, 27, 22, 47, 26, 51, 50, 3, 20, 21]",[2],2,"[50, 46, 48, 49, 27, 22, 47, 26, 51, 20, 21]",[50],50,9.1874
H376,1008,960,48,True,No,0,0,True,"[2, 24, 23, 25, 22, 48, 3, 47, 26, 49, 46, 21, 50, 4, 27, 45, 20, 51, 28, 5, 44]","[2, 24, 23, 25, 22, 48, 3, 47, 26, 49, 46, 21, 50, 4, 27, 45, 20, 51, 28, 5, 44]",[2],2,"[50, 48, 46, 44, 51, 47, 26, 49, 21, 27, 45, 20, 28]",[50],50,8.583
H377,1008,960,48,True,No,0,0,True,"[24, 23, 25, 48, 2, 47, 49, 22, 26, 46, 3, 50, 21, 27]","[24, 23, 25, 48, 2, 47, 49, 22, 26, 46, 3, 50, 21, 27]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 21, 27]",[48],48,8.99
H378,1008,960,48,True,No,0,0,True,"[2, 24, 23, 25, 22, 3, 26, 48, 47, 49, 21, 46, 50, 4, 27, 45, 20, 51, 28, 5, 44]","[2, 24, 23, 25, 22, 3, 26, 48, 47, 49, 21, 46, 50, 4, 27, 45, 20, 51, 28, 5, 44]",[2],2,"[50, 48, 46, 44, 51, 26, 47, 49, 21, 27, 45, 20, 28]",[50],50,8.8164
H379,1008,960,48,True,No,0,0,True,"[2, 24, 23, 3, 25, 22, 26, 48, 47, 49, 4, 21, 46, 27, 50, 45, 20, 51, 5, 28]","[2, 24, 23, 3, 25, 22, 26, 48, 47, 49, 4, 21, 46, 27, 50, 45, 20, 51, 5, 28]",[2],2,"[50, 48, 46, 51, 22, 26, 47, 49, 21, 27, 45, 20, 28]",[50],50,8.8384
H38,748,700,48,True,No,1,0,True,"[2, 24, 23, 25, 22, 48, 3, 47, 26, 49, 21, 46, 50, 4, 27, 45, 20, 51, 28]","[2, 24, 23, 25, 22, 48, 3, 47, 26, 49, 21, 46, 50, 4, 27, 45, 20, 51, 28]",[2],2,"[50, 48, 46, 22, 51, 47, 26, 49, 21, 27, 45, 20, 28]",[50],50,6.7529
H380,1008,960,48,True,No,0,0,True,"[2, 24, 23, 25, 22, 3, 48, 26, 47, 49, 46, 21, 50, 27, 4, 45, 20, 51, 28, 5, 44]","[2, 24, 23, 25, 22, 3, 48, 26, 47, 49, 46, 21, 50, 27, 4, 45, 20, 51, 28, 5, 44]",[2],2,"[50, 48, 46, 44, 51, 26, 47, 49, 21, 27, 45, 20, 28]",[50],50,9.1056
H381,1008,960,48,True,No,0,0,True,"[2, 24, 23, 25, 22, 3, 48, 47, 26, 49, 46, 21, 50, 4, 27, 45, 20, 51, 28, 5, 44]","[2, 24, 23, 25, 22, 3, 48, 47, 26, 49, 46, 21, 50, 4, 27, 45, 20, 51, 28, 5, 44]",[2],2,"[50, 48, 46, 44, 51, 47, 26, 49, 21, 27, 45, 20, 28]",[50],50,8.98
H382,1008,960,48,True,No,0,0,True,"[24, 23, 25, 48, 2, 47, 49, 22, 26, 46, 50, 3, 21, 27]","[24, 23, 25, 48, 2, 47, 49, 22, 26, 46, 50, 3, 21, 27]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 21, 27]",[48],48,8.5581
H383,1008,960,48,True,No,0,0,True,"[24, 23, 2, 25, 48, 22, 49, 47, 26, 3, 50, 46, 21, 27, 4, 45, 51, 20, 44]","[24, 23, 2, 25, 48, 22, 49, 47, 26, 3, 50, 46, 21, 27, 4, 45, 51, 20, 44]",[24],24,"[48, 46, 50, 44, 49, 47, 26, 51, 21, 27, 45, 20]",[48],48,8.6519
H384,1008,960,48,True,No,0,2,True,"[2, 3, 4, 24, 23, 25, 48, 49, 22, 47, 26, 50, 46, 5, 21, 27, 51, 45, 20, 52]","[2, 3, 4, 24, 23, 25, 48, 49, 22, 47, 26, 50, 46, 5, 21, 27, 51, 45, 20, 52]",[2],2,"[52, 51, 48, 46, 50, 49, 22, 47, 21, 27, 45, 20]",[52],52,8.4793
H385,1008,960,48,True,No,0,2,True,"[2, 24, 23, 25, 3, 22, 26, 48, 47, 49, 21, 46, 4, 27, 50, 20, 45, 5, 51, 28, 44]","[2, 24, 23, 25, 3, 22, 26, 48, 47, 49, 21, 46, 4, 27, 50, 20, 45, 5, 51, 28, 44]",[2],2,"[50, 48, 46, 51, 44, 26, 47, 49, 21, 27, 20, 45, 28]",[50],50,8.4185
H386,1008,960,48,True,No,0,0,True,"[24, 23, 25, 48, 2, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4]","[24, 23, 25, 48, 2, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4]",[24],24,"[48, 46, 50, 47, 22, 49, 26, 21, 27]",[48],48,8.8404
H387,1008,960,48,True,No,0,2,True,"[2, 3, 24, 23, 25, 22, 4, 26, 21, 48, 47, 49, 27, 46, 20, 5, 50, 45, 28, 51, 19, 44]","[2, 3, 24, 23, 25, 22, 4, 26, 21, 48, 47, 49, 27, 46, 20, 5, 50, 45, 28, 51, 19, 44]",[2],2,"[50, 51, 48, 46, 44, 26, 21, 47, 49, 27, 20, 45, 28, 19]",[50],50,8.8663
H388,1008,960,48,True,No,0,0,True,"[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 4, 27, 45, 20, 51]","[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 4, 27, 45, 20, 51]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 51, 21, 27, 45, 20]",[48],48,8.8513
H389,1008,960,48,True,No,0,0,True,"[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4, 45, 51]","[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4, 45, 51]",[24],24,"[48, 46, 50, 47, 22, 49, 26, 51, 21, 27, 45]",[48],48,8.3636
H39,748,700,48,True,No,1,0,True,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 27, 50, 45, 20, 51, 28, 5, 44]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 46, 4, 27, 50, 45, 20, 51, 28, 5, 44]",[2],2,"[50, 48, 46, 51, 44, 26, 47, 49, 21, 27, 45, 20, 28]",[50],50,7.1409
H390,1008,960,48,True,No,0,0,True,"[24, 23, 25, 48, 49, 2, 47, 22]","[24, 23, 25, 48, 49, 2, 47, 22]",[24],24,"[48, 23, 25, 49, 47, 22]",[48],48,9.0269
H391,1008,960,48,True,No,0,0,True,"[24, 23, 25, 2, 48, 47, 49, 22, 26, 46, 3, 50, 21]","[24, 23, 25, 2, 48, 47, 49, 22, 26, 46, 3, 50, 21]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 21]",[48],48,8.8573
H392,1008,960,48,True,No,0,0,True,"[24, 23, 2, 25, 48, 22, 47, 49, 26, 3, 46, 50, 21, 27, 45, 4, 51, 20, 28]","[24, 23, 2, 25, 48, 22, 47, 49, 26, 3, 46, 50, 21, 27, 45, 4, 51, 20, 28]",[24],24,"[48, 46, 50, 22, 47, 49, 26, 51, 21, 27, 45, 20, 28]",[48],48,8.3975
H393,1008,960,48,True,No,0,0,True,"[2, 24, 23, 25, 48, 3, 22, 49, 26, 47, 50, 46, 21, 27, 4, 51, 45, 20, 28, 5]","[2, 24, 23, 25, 48, 3, 22, 49, 26, 47, 50, 46, 21, 27, 4, 51, 45, 20, 28, 5]",[2],2,"[50, 48, 46, 51, 22, 49, 26, 47, 21, 27, 45, 20, 28]",[50],50,8.5541
H394,1008,960,48,True,No,0,0,True,"[24, 23, 25, 48, 2, 47, 49, 22, 26, 46, 50, 3]","[24, 23, 25, 48, 2, 47, 49, 22, 26, 46, 50, 3]",[24],24,"[48, 46, 50, 47, 49, 22, 26]",[48],48,8.6539
H395,1008,960,48,True,No,0,0,True,"[24, 23, 25, 48, 2, 47, 49, 22, 26, 3, 46, 50, 21, 27, 4]","[24, 23, 25, 48, 2, 47, 49, 22, 26, 3, 46, 50, 21, 27, 4]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 21, 27]",[48],48,8.8384
H396,1008,960,48,True,No,0,0,True,"[2, 24, 3, 23, 25, 22, 48, 26, 47, 49, 4, 21, 46, 50, 27, 45, 51, 20, 5, 28, 44]","[2, 24, 3, 23, 25, 22, 48, 26, 47, 49, 4, 21, 46, 50, 27, 45, 51, 20, 5, 28, 44]",[2],2,"[50, 48, 51, 46, 44, 26, 47, 49, 21, 27, 45, 20, 28]",[50],50,8.8783
H397,1008,960,48,True,No,0,0,True,"[24, 2, 48, 23, 25, 47, 49, 3, 22, 26, 46, 50, 4, 21, 27, 45]","[24, 2, 48, 23, 25, 47, 49, 3, 22, 26, 46, 50, 4, 21, 27, 45]",[24],24,"[48, 50, 46, 47, 49, 22, 26, 21, 27, 45]",[48],48,8.2809
H398,1008,960,48,True,No,0,0,True,"[24, 2, 23, 25, 48, 22, 47, 49, 3, 26, 46, 21, 50, 4, 27, 45, 20, 51, 5, 28]","[24, 2, 23, 25, 48, 22, 47, 49, 3, 26, 46, 21, 50, 4, 27, 45, 20, 51, 5, 28]",[24],24,"[48, 50, 46, 22, 47, 49, 51, 26, 21, 27, 45, 20, 28]",[48],48,8.8414
H399,1008,960,48,True,No,0,0,True,"[24, 23, 25, 48, 2, 47, 49, 22, 26, 46, 3, 50, 21]","[24, 23, 25, 48, 2, 47, 49, 22, 26, 46, 3, 50, 21]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 21]",[48],48,8.5402
H4,748,700,48,True,No,0,0,True,"[2, 24, 23, 3, 25, 22, 26, 21, 48, 47, 4, 49, 27, 46, 50, 20, 45, 5, 51, 28, 19, 44]","[2, 24, 23, 3, 25, 22, 26, 21, 48, 47, 4, 49, 27, 46, 50, 20, 45, 5, 51, 28, 19, 44]",[2],2,"[50, 48, 46, 51, 44, 26, 21, 47, 49, 27, 20, 45, 28, 19]",[50],50,6.5206
H40,748,700,48,True,No,1,0,True,"[24, 2, 23, 25, 48, 3, 47, 22, 49, 26, 21, 4, 46, 50, 27, 20, 45, 5, 51, 28]","[24, 2, 23, 25, 48, 3, 47, 22, 49, 26, 21, 4, 46, 50, 27, 20, 45, 5, 51, 28]",[24],24,"[48, 50, 46, 51, 47, 22, 49, 26, 21, 27, 20, 45, 28]",[48],48,7.0631
H400,1008,960,48,True,No,0,0,True,"[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27]","[24, 23, 25, 2, 48, 47, 49, 22, 26, 3, 46, 50, 21, 27]",[24],24,"[48, 46, 50, 47, 49, 22, 26, 21, 27]",[48],48,8.5511
H401,1008,960,48,True,No,0,0,True,"[24, 2, 23, 25, 22, 48, 3, 26, 47, 49, 21, 46, 50, 27, 4, 45, 20, 51, 28, 44, 5]","[24, 2, 23, 25, 22, 48, 3, 26, 47, 49, 21, 46, 50, 27, 4, 45, 20, 51, 28, 44, 5]",[24],24,"[48, 50, 46, 44, 51, 26, 47, 49, 21, 27, 45, 20, 28]",[48],48,8.5322
